Address,Age,City,Education,Employment,Fertility,FirstName,FullName,Gender,HairColor,Height,LastName,MiddleI,Race,Salary,State,Weight,Zip
4311 N. Wright Street,18,Winterfell,HS,U,1,Payton,Payton C. Cole,M,Blonde,64.45,Cole,C.,W,55.0,GA,201,49321
2289 W. Pine Street,66,Buffalo,PHD,C,2,Andres,Andres J. Brown,M,Black,68.0,Brown,J.,W,58.5,NY,161,63404
4745 W. Elm Road,41,Sacramento,HS,H,3,Wayne,Wayne C. Robinson,M,Red,73.41,Robinson,C.,W,51.0,CA,177,78798
2499 W. 91st Street,41,New York,MAS,H,1,Jamie,Jamie N. Johnson,F,Brown,58.89,Johnson,N.,W,50.7,NY,181,46926
5414 N. 34 Street,66,Smalltown,4YD,H,2,Jordan,Jordan H. Fields,F,Black,65.11,Fields,H.,B,42.9,RI,144,70243
4708 S. Maple Street,69,Mordor,GS,E,1,Nathan,Nathan J. Rogers,M,Brown,69.16,Rogers,J.,W,72.0,DE,152,86183
2673 E. GreenField Avenue,18,Dawnstar,HS,E,1,Kathryn,Kathryn M. Nichols,F,Brown,60.49,Nichols,M.,W,56.160000000000004,PA,165,13152
3904 N. Becher Blvd.,62,Mordor,PHD,H,4,Kevin,Kevin F. Jones,M,Blonde,71.43,Jones,F.,W,57.5,MS,211,22160
5657 S. Pearl Street,71,Lake Delton,PHD,S,3,Alexia,Alexia L. Hill,F,Brown,63.45,Hill,L.,W,49.92,WI,112,23549
4707 W. Lake Road,57,Buffalo,2YD,C,0,Fay,Fay N. Harris,F,Black,67.65,Harris,N.,W,57.72,NY,127,42447
7990 E. Chambers Street,67,Gotham,4YD,U,0,Roman,Roman J. Fox,M,Black,69.67,Fox,J.,W,58.5,VT,188,75810
2284 E. Washington Avenue,67,Winterfell,MAS,L,6,Carsandra,Carsandra A. Robinson,F,Black,63.07,Robinson,A.,B,44.07,DE,124,11350
3742 S. Lake Avenue,62,Thundera,2YD,U,2,Jack,Jack J. Butler,M,Black,65.03,Butler,J.,W,64.0,PA,179,23037
7875 E. Main Street,34,Fresno,HS,S,0,Regina,Regina E. Gibson,F,Blonde,64.12,Gibson,E.,W,49.53,CA,166,37786
991 E. Hill Avenue,36,Westworld,GS,U,0,Beatrice,Beatrice M. Hayes,F,Brown,73.61,Hayes,M.,W,42.9,NC,126,12035
6791 E. Cedar Street,36,Valyria,PHD,L,1,Edward,Edward J. Wallace,M,Black,68.86,Wallace,J.,W,55.0,PA,176,80055
5769 S. Oak Road,21,Los Angeles,GS,S,3,Kasen,Kasen A. Ross,M,Brown,70.57,Ross,A.,W,74.0,CA,158,37812
1342 W. 95th Blvd.,57,Tampa,HS,C,0,Alisha,Alisha M. Avila,F,Black,58.87,Avila,M.,H,49.92,FL,158,56079
103 W. 75th Street,20,Fresno,HS,U,0,Joel,Joel J. Mcdonald,M,Blonde,71.24,Mcdonald,J.,W,63.5,CA,215,45111
7779 N. Becher Road,76,Springfield,PHD,S,2,Ralph,Ralph D. Reynolds,M,Black,69.64,Reynolds,D.,W,62.0,MS,167,79880
8460 N. North Street,56,Tampa,MAS,L,0,Leopoldo,Leopoldo S. Barrera,M,Black,65.21,Barrera,S.,H,60.0,FL,168,24220
4850 N. Elm Street,34,Pythonville,2YD,H,3,Nevaeh,Nevaeh M. Bell,F,Black,64.99,Bell,M.,B,49.92,UT,122,87822
8058 W. Cedar Street,52,Chico,HS,C,3,Anita,Anita H. Thomas,F,Brown,60.88,Thomas,H.,W,42.9,CA,139,66660
9337 N. Pine Street,37,Valyria,HS,E,5,Arthur,Arthur A. Watson,M,Black,69.22,Watson,A.,W,61.0,MS,182,56196
3823 S. Townsend Road,72,Miami,4YD,E,0,Amanda,Amanda M. Scott,F,Red,64.14,Scott,M.,W,39.78,FL,125,67567
3670 W. North Street,56,Madison,HS,H,1,Albert,Albert T. White,M,Black,65.98,White,T.,W,71.0,WI,164,55947
5733 N. Becker Blvd.,52,Balmora,HS,E,2,Fernando,Fernando G. Watson,M,Brown,70.29,Watson,G.,W,53.0,NJ,140,86884
6824 S. Oak Blvd.,66,Midland,GS,H,3,Katherine,Katherine L. Kelly,F,Black,59.68,Kelly,L.,W,39.78,TX,116,57458
9395 W. Pearl Road,49,New York,HS,C,0,Courtney,Courtney A. Mcdonald,F,Blonde,60.85,Mcdonald,A.,W,39.78,NY,178,54529
3588 S. Lake Road,55,Balmora,GS,U,3,Sally,Sally L. Morris,F,Red,66.6,Morris,L.,W,49.53,NC,162,17904
862 W. Hill Road,43,Epicburg,GS,U,3,Marquis,Marquis J. Crawford,M,Black,70.51,Crawford,J.,B,71.0,ME,159,86491
9486 S. Townsend Road,35,Buffalo,HS,U,4,Hernando,Hernando G. Estrada,M,Black,59.64,Estrada,G.,H,63.5,NY,205,90537
6393 N. Main Blvd.,39,Fresno,HS,U,2,Arun,Arun W. Leung,M,Black,63.72,Leung,W.,O,55.0,CA,158,48248
6245 S. 84th Street,41,Atlantis,HS,H,3,Shannon,Shannon E. Russell,F,Black,68.15,Russell,E.,W,55.38,NC,159,40145
1920 N. Washington Avenue,39,Springfield,MAS,H,3,Shantice,Shantice J. Miller,F,Black,64.06,Miller,J.,B,57.330000000000005,GA,188,95130
9639 W. Pine Blvd.,37,Miami,HS,U,4,Megan,Megan E. Griffin,F,Blonde,67.36,Griffin,E.,W,42.9,FL,146,57079
3644 W. Becher Road,22,Milwaukee,HS,U,1,Mark,Mark C. Carter,M,Brown,67.56,Carter,C.,W,64.0,WI,167,53626
1546 S. Hill Street,72,Eerie,GS,U,1,Geraldine,Geraldine N. Wilson,F,Black,61.85,Wilson,N.,W,39.78,NM,182,55593
8744 N. Townsend Road,61,Bedrock,HS,L,2,Ethan,Ethan D. Santos,M,Black,68.72,Santos,D.,H,63.5,GA,191,73741
5009 W. Maple Street,26,Madison,GS,H,1,Claritaclaudina,Claritaclaudina C. Guzman,F,Black,64.99,Guzman,C.,H,57.330000000000005,WI,194,27340
3991 S. Main Blvd.,63,Pythonville,GS,L,3,Billy,Billy C. Ross,M,Brown,66.52,Ross,C.,W,50.0,ID,168,24889
3443 E. 84th Blvd.,75,Buffalo,4YD,U,2,Kelly,Kelly E. Cook,F,Brown,63.24,Cook,E.,W,41.34,NY,138,50913
4332 W. Hill Avenue,43,Valyria,MAS,E,2,Shanice,Shanice B. Gibson,F,Black,62.39,Gibson,B.,B,42.9,AZ,157,13071
9386 N. 34 Street,60,Mordor,PHD,U,4,Jason,Jason D. Jones,M,Brown,72.89,Jones,D.,W,64.0,AZ,171,19698
4774 N. 17th Blvd.,30,Mordor,HS,C,3,Talat,Talat Masih,M,Black,76.71,Masih, ,A,55.0,MN,158,60245
2565 N. Oak Road,62,Chico,4YD,H,2,Helen,Helen R. Morgan,F,Red,68.54,Morgan,R.,W,57.72,CA,166,67835
697 E. 75th Blvd.,40,Valyria,2YD,S,1,Garrett,Garrett G. Murray,M,Brown,72.76,Murray,G.,W,55.0,VA,181,30750
8401 E. Townsend Road,57,Bedrock,4YD,C,3,Malachi,Malachi E. Wagner,M,Brown,69.09,Wagner,E.,W,51.0,IL,175,37691
3544 E. 17th Street,35,Balmora,MAS,L,0,Alica,Alica N. Pfeifer,F,Blonde,63.76,Pfeifer,N.,W,57.330000000000005,GA,139,25332
8974 S. Washington Avenue,76,Atlantis,4YD,E,7,Pedro,Pedro G. Velasquez,M,Black,68.96,Velasquez,G.,H,60.0,NM,164,60254
8851 W. Main Street,30,Epicburg,2YD,S,0,Jonathan,Jonathan C. Anderson,M,Black,78.92,Anderson,C.,W,74.0,UT,174,90862
4998 W. Center Street,44,South Park,GS,S,1,Crystal,Crystal A. Ward,F,Black,56.61,Ward,A.,W,44.07,SC,116,49560
6111 S. GreenField Avenue,70,Oldtown,GS,E,1,Terry,Terry A. Murray,M,Brown,67.4,Murray,A.,W,62.0,GA,205,12231
3622 N. Park Road,42,Fresno,MAS,H,1,Diana,Diana C. Jackson,F,Black,56.83,Jackson,C.,W,47.58,CA,147,28397
99 E. Cedar Road,35,Pythonville,GS,L,2,Jada,Jada M. Ross,F,Black,66.42,Ross,M.,B,39.78,OH,177,30544
2388 S. Wright Street,24,Midland,GS,U,1,Matana,Matana Said,F,Black,62.8,Said, ,A,39.0,TX,158,26766
8120 N. Pine Road,76,Gotham,MAS,C,1,Rebecca,Rebecca G. Johnson,F,Brown,68.89,Johnson,G.,W,57.330000000000005,SD,113,12141
